Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
xu_aligned,onoff,10,REVS-T,96.41393443,3.586065574,189.1682571,99.9,2.4,24,97.6,98.57142857,100,14.28571429,0,85.71428571,100,100,91.30434783,25,100,3.487179487,0,96.51282051,2.857142857,100,5.555555556,1,0.347437729,NaN,100,99.89754098,0.102459016,2.4,2.857142857,97.14285714,85.71428571,14.28571429,0,85.71428571,100,100,91.30434783,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,10,REVS-T-Uniform,96.20901639,3.790983607,189.5291144,99.7,2.4,24,97.6,100,100,0,0,100,100,0,90,0,100,3.494347379,0,96.50565262,8.108108108,100,15,NaN,0.16885102,NaN,100,85.14344262,14.85655738,2.4,8.108108108,91.89189189,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,10,Threshold,96.41393443,3.586065574,189.1682571,99.9,2.4,24,97.6,98.57142857,100,14.28571429,0,85.71428571,100,100,91.30434783,25,100,3.487179487,0,96.51282051,2.857142857,100,5.555555556,1,0.33133798,NaN,100,99.89754098,0.102459016,2.4,2.857142857,97.14285714,85.71428571,14.28571429,0,85.71428571,100,100,91.30434783,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,10,Threshold-MaxRep,96.41393443,3.586065574,189.1682571,99.9,2.4,24,97.6,98.57142857,100,14.28571429,0,85.71428571,100,100,91.30434783,25,100,3.487179487,0,96.51282051,2.857142857,100,5.555555556,1,0.329807533,NaN,100,99.89754098,0.102459016,2.4,2.857142857,97.14285714,85.71428571,14.28571429,0,85.71428571,100,100,91.30434783,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,10,Threshold-NoTierSel,96.20901639,3.790983607,189.4628481,99.7,2.4,24,97.6,95.71428571,100,42.85714286,0,57.14285714,100,100,94.02985075,60,100,3.494347379,0,96.50565262,8.108108108,100,15,1,0.33125746,NaN,100,99.69262295,0.307377049,2.4,8.108108108,91.89189189,57.14285714,42.85714286,0,57.14285714,100,100,94.02985075,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,Beta,96.08465608,3.915343915,199.3030207,98.4,5.5,55,94.5,87.14285714,95.91836735,33.33333333,4.081632653,66.66666667,95.91836735,77.77777778,77.04918033,46.66666667,62.5,2.906350915,37.5,97.09364909,27.02702703,99.33920705,37.73584906,1,0.504149878,NaN,96,94.70899471,5.291005291,5.5,27.02702703,72.97297297,66.66666667,33.33333333,4.081632653,66.66666667,95.91836735,77.77777778,77.04918033,46.66666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,REVS-T,96.48187633,3.518123667,198.5012052,99.4,6.2,62,93.8,91.42857143,100,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,100,2.896995708,0,97.10300429,18.18181818,100,30.76923077,1,0.334444765,NaN,98,99.36034115,0.639658849,6.2,18.18181818,81.81818182,71.42857143,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,REVS-T-Uniform,95.66137566,4.338624339,199.8933379,97.5,5.5,55,94.5,97.14285714,100,9.523809524,0,90.47619048,100,100,72.05882353,17.39130435,56,2.934782609,44,97.06521739,34.14634146,98.78318584,42.42424242,5,0.153946263,NaN,91,83.80952381,16.19047619,5.5,34.14634146,65.85365854,90.47619048,9.523809524,0,90.47619048,100,100,72.05882353,17.39130435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,Threshold,96.48187633,3.518123667,198.5012052,99.4,6.2,62,93.8,91.42857143,100,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,100,2.896995708,0,97.10300429,18.18181818,100,30.76923077,1,0.323540685,NaN,98,99.36034115,0.639658849,6.2,18.18181818,81.81818182,71.42857143,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,Threshold-MaxRep,96.2962963,3.703703704,198.841708,98.7,5.5,55,94.5,91.42857143,100,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,61.53846154,2.896995708,38.46153846,97.10300429,22.85714286,99.45054945,33.33333333,1,0.329010862,NaN,98,98.62433862,1.375661376,5.5,22.85714286,77.14285714,71.42857143,28.57142857,0,71.42857143,100,100,76.5625,44.44444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,30,Threshold-NoTierSel,96.25267666,3.74732334,199.1709954,99.2,6.6,66,93.4,88.57142857,100,38.0952381,0,61.9047619,100,100,79.03225806,55.17241379,100,2.915766739,0,97.08423326,22.85714286,100,37.20930233,1,0.323706729,NaN,95,99.14346895,0.856531049,6.6,22.85714286,77.14285714,61.9047619,38.0952381,0,61.9047619,100,100,79.03225806,55.17241379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,Beta,87.43286788,12.56713212,210.5685978,82.9,6.9,69,93.1,72.85714286,94.28571429,48.57142857,5.714285714,51.42857143,94.28571429,89.47368421,64.70588235,62.96296296,53.21637427,3.421052632,46.78362573,96.57894737,77.77777778,90.17199017,63.19444444,1,0.457120364,NaN,80,78.94736842,21.05263158,6.9,77.77777778,22.22222222,51.42857143,48.57142857,5.714285714,51.42857143,94.28571429,89.47368421,64.70588235,62.96296296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,REVS-T,94.43037975,5.569620253,194.1745674,98.3,21,210,79,75.71428571,100,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,100,3.492884864,0,96.50711514,38.63636364,100,55.73770492,1,0.328452989,NaN,92,97.84810127,2.151898734,21,38.63636364,61.36363636,51.42857143,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,REVS-T-Uniform,86.1878453,13.8121547,211.6804474,82.1,9.5,95,90.5,75.71428571,100,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,54.74860335,3.719008264,45.25139665,96.28099174,78.4,89.61538462,64.47368421,4.705882353,0.14030464,NaN,66,70.38674033,29.61325967,9.5,78.4,21.6,51.42857143,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,Threshold,94.43037975,5.569620253,194.1745674,98.3,21,210,79,75.71428571,100,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,100,3.492884864,0,96.50711514,38.63636364,100,55.73770492,1,0.320014152,NaN,92,97.84810127,2.151898734,21,38.63636364,61.36363636,51.42857143,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,Threshold-MaxRep,88.18474758,11.81525242,208.0407481,84.2,6.9,69,93.1,75.71428571,100,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,52.53164557,3.492884864,47.46835443,96.50711514,75.45454545,90.86479903,61.94029851,1,0.329153194,NaN,89,83.02900107,16.97099893,6.9,75.45454545,24.54545455,51.42857143,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,50,Threshold-NoTierSel,94.36619718,5.633802817,194.6007834,98.3,21.9,219,78.1,75.71428571,100,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,100,3.534031414,0,96.46596859,38.63636364,100,55.73770492,1,0.319447595,NaN,87,97.82330346,2.176696543,21.9,38.63636364,61.36363636,51.42857143,48.57142857,0,51.42857143,100,100,66.03773585,65.38461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
