Assignment,AttackType,MaliciousPct,Model,Seed,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,Beta (BRS),2,95.9798995,4.020100503,195.1737846,100,0.5,5,99.5,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,4.020100503,0,95.9798995,0,100,0,NaN,NaN,NaN,NaN,100,96.7839196,3.216080402,0.5,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),3,97.09418838,2.905811623,198.0791835,100,0.2,2,99.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.905811623,0,97.09418838,0,100,0,NaN,NaN,NaN,NaN,100,96.19238477,3.80761523,0.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),4,96.87814703,3.121852971,192.5755722,100,0.7,7,99.3,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.121852971,0,96.87814703,0,100,0,NaN,NaN,NaN,NaN,100,96.47532729,3.524672709,0.7,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),5,96.25884732,3.741152679,195.2839237,100,1.1,11,98.9,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.741152679,0,96.25884732,0,100,0,NaN,NaN,NaN,NaN,100,96.25884732,3.741152679,1.1,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),6,97.68145161,2.318548387,195.1240717,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.318548387,0,97.68145161,0,100,0,NaN,NaN,NaN,NaN,100,96.37096774,3.629032258,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),7,96.86234818,3.137651822,197.3420031,100,1.2,12,98.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.137651822,0,96.86234818,0,100,0,NaN,NaN,NaN,NaN,100,95.85020243,4.149797571,1.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),8,98.08467742,1.915322581,200.5927554,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,1.915322581,0,98.08467742,0,100,0,NaN,NaN,NaN,NaN,100,96.27016129,3.72983871,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),9,96.26639758,3.733602422,195.4442047,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.733602422,0,96.26639758,0,100,0,NaN,NaN,NaN,NaN,100,95.96367306,4.036326942,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),10,96.77093845,3.229061554,195.9044049,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.229061554,0,96.77093845,0,100,0,NaN,NaN,NaN,NaN,100,96.67003027,3.329969728,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,1,96.86868687,3.131313131,197.6998711,100,1,10,99,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.131313131,0,96.86868687,0,100,0,NaN,NaN,NaN,NaN,100,95.95959596,4.04040404,1,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,2,95.951417,4.048582996,195.0499749,100,1.2,12,98.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,4.048582996,0,95.951417,0,100,0,NaN,NaN,NaN,NaN,100,92.20647773,7.793522267,1.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,3,97.08835341,2.911646586,198.263298,100,0.4,4,99.6,97.14285714,97.14285714,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,0,0,0,0,2.911646586,0,97.08835341,0,100,0,NaN,NaN,NaN,NaN,100,95.48192771,4.518072289,0.4,0,100,NaN,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,4,96.86868687,3.131313131,192.3994463,100,1,10,99,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.131313131,0,96.86868687,0,100,0,NaN,NaN,NaN,NaN,100,94.74747475,5.252525253,1,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,5,96.2474645,3.752535497,195.2658435,100,1.4,14,98.6,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.752535497,0,96.2474645,0,100,0,NaN,NaN,NaN,NaN,100,95.53752535,4.462474645,1.4,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,6,97.68145161,2.318548387,195.1240717,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.318548387,0,97.68145161,0,100,0,NaN,NaN,NaN,NaN,100,96.16935484,3.830645161,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,7,96.85598377,3.144016227,197.080938,100,1.4,14,98.6,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.144016227,0,96.85598377,0,100,0,NaN,NaN,NaN,NaN,100,96.04462475,3.955375254,1.4,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,8,98.07302231,1.926977688,200.7032043,100,1.4,14,98.6,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,1.926977688,0,98.07302231,0,100,0,NaN,NaN,NaN,NaN,100,94.92900609,5.070993915,1.4,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
