Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,50,ScalarRep-CumReward,74.166867233313,25.833132766687,240.616403173269,78.19,8.34,83.4,91.66,100,100,0,0,100,100,0,50,0,0,100,35,0,100,2.65261833103683,0,97.3473816689632,91.7484076472496,100,95.6754771768181,NaN,8.90702298017362,7.19593137049788,NaN,70.8,70.8818709812121,29.1181290187879,8.34,91.7484076472496,8.25159235275041,100,0,0,100,100,0,50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,50,ScalarRep-EMA,72.7908690453702,27.2091309546298,243.177471851037,76.92,8.34,83.4,91.66,100,100,0,0,100,100,0,50,0,0,100,35,0,100,2.69235567184636,0,97.3076443281536,92.2942487959113,100,95.9790431333676,NaN,0.137191849161995,0.0930021111645112,NaN,61.5,0.0984508801993868,99.9015491198006,8.34,92.2942487959113,7.7057512040887,100,0,0,100,100,0,50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,50,Threshold-MaxRep,88.9880763167079,11.0119236832921,213.239189324028,93.82,27.49,274.9,72.51,74.4285714285714,99.1428571428571,50.2857142857143,0.857142857142857,49.7142857142857,99.1428571428571,98.5645933014354,66.7198289132251,66.3180847619775,50.2857142857143,100,35,17.6,100,2.6602335814542,0,97.3397664185458,75.002889700916,100,85.2439677857495,2.80873015873016,0.209760940981492,0.175165826742825,NaN,79.8,72.020770032855,27.979229967145,27.49,75.002889700916,24.997110299084,49.7142857142857,50.2857142857143,0.857142857142857,49.7142857142857,99.1428571428571,98.5645933014354,66.7198289132251,66.3180847619775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,50,Threshold-NoTierSel,88.8423078934732,11.1576921065268,213.593058182719,93.88,29.8,298,70.2,73.5714285714286,98.5714285714286,51.4285714285714,1.42857142857143,48.5714285714286,98.5714285714286,97.3840377458799,67.0867803220744,67.115351580332,51.4285714285714,100,35,18,100,2.62849881561995,0,97.3715011843801,76.5170963315159,100,86.3829899469454,3.22972185365374,0.200157456553121,0.175732166783843,NaN,74.1,69.2220465713272,30.7779534286728,29.8,76.5170963315159,23.4829036684842,48.5714285714286,51.4285714285714,1.42857142857143,48.5714285714286,98.5714285714286,97.3840377458799,67.0867803220744,67.115351580332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,firsthalf,0,3VSL-Binary,97.2094765760557,2.79052342394425,195.723180698509,100,0.74,7.4,99.26,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.79052342394425,0,97.2094765760557,0,100,0,NaN,NaN,NaN,NaN,100,96.7972135901104,3.20278640988956,0.74,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,96.5,100,96.48,100,0.0200000000000017,0,0,0,NaN,100,100,0,NaN,NaN
moderate,firsthalf,0,Beta (BRS),97.2094765760557,2.79052342394425,195.723180698509,100,0.74,7.4,99.26,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.79052342394425,0,97.2094765760557,0,100,0,NaN,NaN,NaN,NaN,100,96.362983765403,3.63701623459698,0.74,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,96.5,100,96.48,100,0.0200000000000017,0,0,0,NaN,100,100,0,NaN,NaN
moderate,firsthalf,0,ScalarRep-CumReward,97.2094765760557,2.79052342394425,195.723180698509,100,0.74,7.4,99.26,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.79052342394425,0,97.2094765760557,0,100,0,NaN,NaN,NaN,NaN,100,91.9099698163404,8.09003018365962,0.74,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,96.5,100,96.48,100,0.0200000000000017,0,0,0,NaN,100,100,0,NaN,NaN
moderate,firsthalf,0,ScalarRep-EMA,97.2094765760557,2.79052342394425,195.723180698509,100,0.74,7.4,99.26,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.79052342394425,0,97.2094765760557,0,100,0,NaN,NaN,NaN,NaN,100,0.161290732276398,99.8387092677236,0.74,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,96.5,100,96.48,100,0.0200000000000017,0,0,0,NaN,100,100,0,NaN,NaN
moderate,firsthalf,0,Threshold-MaxRep,97.2051709338264,2.7948290661736,195.672370729032,100,0.89,8.9,99.11,99.5714285714286,99.5714285714286,NaN,0.428571428571429,NaN,99.5714285714286,NaN,NaN,NaN,NaN,0,0,0,0,2.7948290661736,0,97.2051709338264,0,100,0,NaN,NaN,NaN,NaN,100,95.036370554358,4.96362944564198,0.89,0,100,NaN,NaN,0.428571428571429,NaN,99.5714285714286,NaN,NaN,NaN,96.46,100,96.22,100,0.240000000000002,0,0,0,NaN,100,100,0,NaN,NaN
moderate,firsthalf,0,Threshold-NoTierSel,97.2094121456562,2.79058785434376,195.621562510774,100,1.43,14.3,98.57,99.2857142857143,99.2857142857143,NaN,0.714285714285714,NaN,99.2857142857143,NaN,NaN,NaN,NaN,0,0,0,0,2.79058785434376,0,97.2094121456562,0,100,0,NaN,NaN,NaN,NaN,100,84.9714689865193,15.0285310134807,1.43,0,100,NaN,NaN,0.714285714285714,NaN,99.2857142857143,NaN,NaN,NaN,95.94,100,95.7,100,0.240000000000001,0,0,0,NaN,100,100,0,NaN,NaN
