Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
xu_aligned,firsthalf,30,RUST-NoTier,96.91797152,3.082028477,197.3143385,98.01,7.33,73.3,92.67,97.14285714,100,9.523809524,0,90.47619048,100,90,72.08391257,16.84466403,9.523809524,100,21,2,10.65502973,2.929023587,89.34497027,97.07097641,6.900831851,98.00490294,8.163762475,1.694444444,0.282019394,0.257027427,NaN,92.4,97.73095397,2.269046034,7.33,6.900831851,93.09916815,90.47619048,9.523809524,0,90.47619048,100,90,72.08391257,16.84466403,90.26,96.34,89.36,99.68,0.9,-3.34,18.3,1.6,0.097076838,99.3,99.9,0.6,151.1111111,18.1379473
xu_aligned,firsthalf,30,RUST-Uniform,93.75749708,6.24250292,203.5503787,90.48,5.94,59.4,94.06,85.57142857,98.57142857,44.76190476,1.428571429,55.23809524,98.57142857,93.05122655,80.70990546,60.00077194,44.76190476,100,21,9.4,36.06999917,2.925173847,63.93000083,97.07482615,57.5670291,93.0329874,43.96578898,8.139630647,0.024072022,0.033845668,NaN,86.6,27.86555342,72.13444658,5.94,57.5670291,42.4329709,55.23809524,44.76190476,1.428571429,55.23809524,98.57142857,93.05122655,80.70990546,60.00077194,91.5,87.34,84.88,93.62,6.62,-6.28,63.3,31.9,0.517349715,90.6,97.1,6.5,189.7342888,38.25373376
xu_aligned,firsthalf,30,ScalarRep-CumReward,95.40596319,4.594036807,200.2504033,95.36,5.56,55.6,94.44,100,100,0,0,100,100,0,70,0,0,100,21,0,37.01734684,2.93460963,62.98265316,97.06539037,39.52652198,96.73496128,37.70510898,NaN,9.764170455,5.865933479,NaN,90.8,90.31087672,9.689123284,5.56,39.52652198,60.47347802,100,0,0,100,100,0,70,0,91.5,93.98,88.7,96.74,2.8,-2.76,30.1,16.3,0.557659633,96.5,96.9,0.4,NaN,13.02766056
xu_aligned,firsthalf,30,ScalarRep-EMA,94.83282086,5.167179144,201.1007146,87.41,5.56,55.6,94.44,100,100,0,0,100,100,0,70,0,0,100,21,0,19.93097802,2.900017252,80.06902198,97.09998275,51.29565846,88.72692979,28.51134247,NaN,-0.014273655,0.02620661,NaN,80,0.116728061,99.88327194,5.56,51.29565846,48.70434154,100,0,0,100,100,0,70,0,91.5,79.16,87.62,95.66,3.88,-16.5,104.2,21.7,0.208557904,90.8,96.7,5.9,NaN,10.87596506
xu_aligned,firsthalf,30,Threshold,96.55109146,3.448908536,198.1022897,98.32,6.44,64.4,93.56,92.42857143,100,25.23809524,0,74.76190476,100,100,75.75651835,40.0368995,25.23809524,100,21,5.3,32.83691554,2.934266935,67.16308446,97.06573306,16.75307974,98.72578843,21.68647814,1.763333333,0.279220206,0.249334814,NaN,96.6,98.10568682,1.894313182,6.44,16.75307974,83.24692026,74.76190476,25.23809524,0,74.76190476,100,100,75.75651835,40.0368995,91.14,97.68,89.52,98.96,1.62,-1.28,11.6,5.2,0.507298951,98.7,99.4,0.7,182.6441667,33.27420474
xu_aligned,firsthalf,30,Threshold-MaxRep,96.56071731,3.439282689,198.06874,98.35,6.47,64.7,93.53,92.57142857,100,24.76190476,0,75.23809524,100,100,75.63837898,39.42905983,24.76190476,100,21,5.2,32.87286325,2.934266935,67.12713675,97.06573306,16.55217741,98.7473947,21.53309149,1.721666667,0.278058515,0.235864497,NaN,96.6,98.10517294,1.894827055,6.47,16.55217741,83.44782259,75.23809524,24.76190476,0,75.23809524,100,100,75.63837898,39.42905983,91.1,97.72,89.52,98.98,1.58,-1.26,11.4,5.1,0.503901515,98.8,99.4,0.6,194.3221429,34.04931097
xu_aligned,firsthalf,30,Threshold-NoTierSel,96.91766199,3.082338011,197.2700163,98.01,7.34,73.4,92.66,97.14285714,100,9.523809524,0,90.47619048,100,90,72.08391257,16.84466403,9.523809524,100,21,2,10.65502973,2.929333261,89.34497027,97.07066674,6.900831851,98.00468856,8.163762475,1.694444444,0.268671514,0.243701789,NaN,92.4,97.73072777,2.269272232,7.34,6.900831851,93.09916815,90.47619048,9.523809524,0,90.47619048,100,90,72.08391257,16.84466403,90.26,96.34,89.34,99.68,0.92,-3.34,18.3,1.6,0.097076838,99.3,99.9,0.6,148.7777778,17.8579473
xu_aligned,firsthalf,30,Threshold-Uniform,93.18868189,6.811318113,204.3422564,89.95,5.8,58,94.2,95.85714286,99.3877551,12.38095238,0.612244898,87.61904762,99.3877551,82.5,72.63654891,20.72687747,12.38095238,100,21,2.6,39.27213659,2.950185381,60.72786341,97.04981462,60.62314936,92.99576215,47.33501827,11.12962963,0.026995231,0.036987135,NaN,86.6,27.79687574,72.20312426,5.8,60.62314936,39.37685064,87.61904762,12.38095238,0.612244898,87.61904762,99.3877551,82.5,72.63654891,20.72687747,91.5,87.36,84.08,92.54,7.42,-5.18,63.2,37.3,0.605407584,90.4,94.8,4.4,301.3465608,41.4901264
xu_aligned,firsthalf,50,3VSL-Binary,84.44794758,15.55205242,219.3835821,74.81,7.8,78,92.2,100,100,0,0,100,100,0,50,0,0,100,35,0,49.32761841,2.840070466,50.67238159,97.15992953,85.9150431,83.42366457,62.62504165,NaN,0.224957958,0.241868326,NaN,73.8,72.91086719,27.08913281,7.8,85.9150431,14.0849569,100,0,0,100,100,0,50,0,90,73.86,65.74,75.76,24.26,-1.9,130.7,121.2,0.929106812,76,75.9,-0.1,NaN,19.92511354
xu_aligned,firsthalf,50,Beta (BRS),81.40089897,18.59910103,224.8244476,56.4,7.8,78,92.2,100,100,0,0,100,100,0,50,0,0,100,35,0,35.86251895,2.821267827,64.13748105,97.17873217,91.38239829,62.58818188,51.49170236,NaN,0.081676972,0.162690382,NaN,45.5,94.71866432,5.281335676,7.8,91.38239829,8.617601715,100,0,0,100,100,0,50,0,90,42.92,60.12,69.88,29.88,-26.96,285.4,150.6,0.523020036,57.4,75.6,18.2,NaN,32.78366726
xu_aligned,firsthalf,50,RUST,97.18397517,2.816024827,195.1743903,96.04,28.47,284.7,71.53,98.28571429,100,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,3.428571429,100,35,1.2,3.383202371,2.814554372,96.61679763,97.18544563,6.029487882,94.37448462,4.241891442,1.3,0.272867693,0.24370212,NaN,77.1,94.31238443,5.687615571,28.47,6.029487882,93.97051212,96.57142857,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,73.1,92.08,65.92,100,7.18,-7.92,39.6,0,0,100,100,0,NaN,3.466666667
xu_aligned,firsthalf,50,RUST-NoDH,93.19895497,6.801045031,203.3292628,83.26,17.22,172.2,82.78,71.57142857,100,56.85714286,0,43.14285714,100,100,70.01787731,72.267442,56.85714286,100,35,19.9,22.78799568,2.821507097,77.21200432,97.1784929,66.12225654,82.94182113,33.72198015,7.851337719,0.193385023,0.234557244,NaN,74.8,84.49870794,15.50129206,17.22,66.12225654,33.87774346,43.14285714,56.85714286,0,43.14285714,100,100,70.01787731,72.267442,88.96,73.4,65.38,93.12,23.58,-19.72,133,34.4,0.260764991,80.7,100,19.3,97.03354695,30.15055611
xu_aligned,firsthalf,50,RUST-NoRec,95.19993582,4.80006418,199.3292829,86.11,18.82,188.2,81.18,71.57142857,100,56.85714286,0,43.14285714,100,100,70.01787731,72.267442,56.85714286,100,35,19.9,14.90092076,2.83120784,85.09907924,97.16879216,51.56730328,84.43227552,22.87778873,6.882799708,0.253881931,0.249910534,NaN,74.5,81.42582136,18.57417864,18.82,51.56730328,48.43269672,43.14285714,56.85714286,0,43.14285714,100,100,70.01787731,72.267442,88.72,75.62,65.86,96.6,22.86,-20.98,121.9,17,0.14357993,86.9,100,13.1,69.35297333,20.37339528
xu_aligned,firsthalf,50,RUST-NoTier,97.1920702,2.807929802,195.1966185,96.03,29.9,299,70.1,98.71428571,100,2.571428571,0,97.42857143,100,60,50.66079449,4.882250672,2.571428571,100,35,0.9,2.412873253,2.845315125,97.58712675,97.15468487,5.368255998,94.19893621,3.28355573,1.25,0.271170716,0.242752775,NaN,69.4,94.14728709,5.852712909,29.9,5.368255998,94.631744,97.42857143,2.571428571,0,97.42857143,100,60,50.66079449,4.882250672,70.34,92.06,65.92,100,4.42,-7.94,39.7,0,0,100,100,0,NaN,3.466666667
xu_aligned,firsthalf,50,RUST-Uniform,88.3441706,11.6558294,211.456276,65.89,15.27,152.7,84.73,71.28571429,99.42857143,56.85714286,0.571428571,43.14285714,99.42857143,99.02380952,69.89390772,72.00962575,56.85714286,100,35,19.9,24.92800364,2.77634076,75.07199636,97.22365924,85.82966722,65.50035818,38.60675815,15.11515351,0.014052244,0.037927689,NaN,46.5,12.32564367,87.67435633,15.27,85.82966722,14.17033278,43.14285714,56.85714286,0.571428571,43.14285714,99.42857143,99.02380952,69.89390772,72.00962575,90,47.26,59.76,84.52,30.24,-37.26,263.7,77.4,0.294356259,55.8,100,44.2,81.00328947,45.17304291
xu_aligned,firsthalf,50,ScalarRep-CumReward,68.75615399,31.24384601,248.1105414,43.15,7.8,78,92.2,100,100,0,0,100,100,0,50,0,0,100,35,0,48.83478086,2.844451689,51.16521914,97.15554831,96.31199758,53.54911257,64.80302788,NaN,0.097066373,0.802330428,NaN,42,89.23676808,10.76323192,7.8,96.31199758,3.688002416,100,0,0,100,100,0,50,0,90,40.42,36.82,45.88,53.18,-5.46,297.9,270.6,0.906840504,39.5,51.5,12,NaN,54.80783847
xu_aligned,firsthalf,50,ScalarRep-EMA,83.3869779,16.6130221,221.2322924,61.56,7.8,78,92.2,100,100,0,0,100,100,0,50,0,0,100,35,0,35.53768984,2.919792074,64.46231016,97.08020793,89.27246116,67.66070946,50.8146835,NaN,0.03544006,0.125851971,NaN,49.3,0.17407603,99.82592397,7.8,89.27246116,10.72753884,100,0,0,100,100,0,50,0,90,49.4,63.78,73.72,26.22,-24.32,253,131.4,0.515172164,66.6,75.9,9.3,NaN,22.8128694
xu_aligned,firsthalf,50,Threshold,97.18397517,2.816024827,195.1743903,96.04,28.47,284.7,71.53,98.28571429,100,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,3.428571429,100,35,1.2,3.383202371,2.814554372,96.61679763,97.18544563,6.029487882,94.37448462,4.241891442,1.3,0.262135558,0.232640451,NaN,77.1,94.31238443,5.687615571,28.47,6.029487882,93.97051212,96.57142857,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,73.1,92.08,65.92,100,7.18,-7.92,39.6,0,0,100,100,0,NaN,3.466666667
xu_aligned,firsthalf,50,Threshold-MaxRep,97.18557349,2.814426506,195.2006926,96.02,28.43,284.3,71.57,98.28571429,100,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,3.428571429,100,35,1.2,3.383515067,2.813539685,96.61648493,97.18646031,6.029487882,94.34862872,4.240678273,1.35,0.262252302,0.227700995,NaN,77.4,94.289337,5.710662997,28.43,6.029487882,93.97051212,96.57142857,3.428571429,0,96.57142857,100,60,50.89612434,6.328828829,73.18,92.06,65.92,99.98,7.26,-7.92,39.7,0.1,0.003333333,99.9,100,0.1,50,3.908888889
xu_aligned,firsthalf,50,Threshold-NoTierSel,97.1920702,2.807929802,195.1966185,96.03,29.9,299,70.1,98.71428571,100,2.571428571,0,97.42857143,100,60,50.66079449,4.882250672,2.571428571,100,35,0.9,2.412873253,2.845315125,97.58712675,97.15468487,5.368255998,94.19893621,3.28355573,1.25,0.260951054,0.231783596,NaN,69.4,94.14728709,5.852712909,29.9,5.368255998,94.631744,97.42857143,2.571428571,0,97.42857143,100,60,50.66079449,4.882250672,70.34,92.06,65.92,100,4.42,-7.94,39.7,0,0,100,100,0,NaN,3.466666667
xu_aligned,firsthalf,50,Threshold-Uniform,80.8318046,19.1681954,225.9468874,58.66,11.58,115.8,88.42,75.71428571,100,48.57142857,0,51.42857143,100,100,66.23091681,64.99271184,48.57142857,100,35,17,37.75181456,2.67150001,62.24818544,97.32849999,92.41858538,63.75045147,53.58080444,20.81863705,0.02421663,0.055956888,NaN,46.5,11.78246456,88.21753544,11.58,92.41858538,7.581414616,51.42857143,48.57142857,0,51.42857143,100,100,66.23091681,64.99271184,90,47.26,52.98,70.06,37.02,-22.8,263.7,149.7,0.562801303,54.9,88.8,33.9,282.573744,65.21899247
xu_aligned,onoff,0,3VSL-Binary,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,98.63017652,1.36982348,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,Beta (BRS),96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,96.34385482,3.656145181,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,RUST,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,99.92943524,0.070564762,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,RUST-NoDH,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,99.92943524,0.070564762,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,RUST-NoRec,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,99.85714286,99.85714286,NaN,0.142857143,NaN,99.85714286,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,98.84178926,1.158210736,0.71,0,100,NaN,NaN,0.142857143,NaN,99.85714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,RUST-NoTier,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,99.87911308,0.120886917,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,RUST-Uniform,96.96657048,3.03342952,195.1241188,100,0.76,7.6,99.24,98,98,NaN,2,NaN,98,NaN,NaN,NaN,NaN,0,0,0,0,3.03342952,0,96.96657048,0,100,0,NaN,NaN,NaN,NaN,100,40.53442285,59.46557715,0.76,0,100,NaN,NaN,2,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,ScalarRep-CumReward,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,91.97298695,8.027013047,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
xu_aligned,onoff,0,ScalarRep-EMA,96.96836911,3.03163089,195.1021516,100,0.71,7.1,99.29,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.03163089,0,96.96836911,0,100,0,NaN,NaN,NaN,NaN,100,0.181442034,99.81855797,0.71,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
